validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
0.26826720591954867,0.4399999976158142,0,6,,
,,0,6,0.25881776213645935,0.5151515007019043
0.25565891848922107,0.4399999976158142,1,13,,
,,1,13,0.24852915108203888,0.5151515007019043
0.25075626269747053,0.4399999976158142,2,20,,
,,2,20,0.24414336681365967,0.5151515007019043
0.24613179013847156,0.4399999976158142,3,27,,
,,3,27,0.24055689573287964,0.5151515007019043
0.23501791873458266,0.4399999976158142,4,34,,
,,4,34,0.23412390053272247,0.5151515007019043
0.21495909210030575,0.4399999976158142,5,41,,
,,5,41,0.2219334989786148,0.5151515007019043
0.17626933550903678,0.4399999976158142,6,48,,
,,6,48,0.19991402328014374,0.5151515007019043
0.15745439861033061,0.4399999976158142,7,55,,
,,7,55,0.18039312958717346,0.5151515007019043
0.1519650318048721,0.4399999976158142,8,62,,
,,8,62,0.1696728616952896,0.5151515007019043
0.14327617001620285,0.4399999976158142,9,69,,
,,9,69,0.16566598415374756,0.5151515007019043
0.11025422985657729,0.4399999976158142,10,76,,
,,10,76,0.14323003590106964,0.5151515007019043
0.09304708375326834,0.4399999976158142,11,83,,
,,11,83,0.131890669465065,0.5151515007019043
0.07386430789771753,0.4399999976158142,12,90,,
,,12,90,0.11960727721452713,0.5151515007019043
0.06412429572571565,0.4399999976158142,13,97,,
,,13,97,0.10660034418106079,0.5151515007019043
0.050394773211552085,0.4399999976158142,14,104,,
,,14,104,0.09286274760961533,0.5151515007019043
0.04221234288031513,0.4399999976158142,15,111,,
,,15,111,0.08150459825992584,0.5151515007019043
0.03287184300176357,0.4399999976158142,16,118,,
,,16,118,0.07211117446422577,0.5151515007019043
0.029608697064835425,0.4399999976158142,17,125,,
,,17,125,0.0638151466846466,0.5151515007019043
0.024011274962575328,0.4399999976158142,18,132,,
,,18,132,0.05670910328626633,0.5151515007019043
0.021556618042367227,0.4399999976158142,19,139,,
,,19,139,0.050878655165433884,0.5151515007019043
0.01767907808295528,0.4399999976158142,20,146,,
,,20,146,0.04647468402981758,0.5151515007019043
0.018059139302679498,0.4399999976158142,21,153,,
,,21,153,0.044197697192430496,0.5151515007019043
0.014204854169022983,0.4399999976158142,22,160,,
,,22,160,0.043070413172245026,0.5151515007019043
0.012515500628882839,0.4399999976158142,23,167,,
,,23,167,0.04225638881325722,0.5151515007019043
0.010272786165205746,0.4399999976158142,24,174,,
,,24,174,0.03992397338151932,0.5151515007019043
0.009871262187438704,0.4399999976158142,25,181,,
,,25,181,0.03875110670924187,0.5151515007019043
0.008766773046509403,0.4399999976158142,26,188,,
,,26,188,0.038245681673288345,0.5151515007019043
0.0075114604164527995,0.4399999976158142,27,195,,
,,27,195,0.0377713143825531,0.5151515007019043
0.007507517827992439,0.4399999976158142,28,202,,
,,28,202,0.03750934451818466,0.5151515007019043
0.006839015639769716,0.4399999976158142,29,209,,
,,29,209,0.03723587468266487,0.5151515007019043
0.0065327535268872895,0.4399999976158142,30,216,,
,,30,216,0.037341855466365814,0.5151515007019043
0.00660072656267977,0.4399999976158142,31,223,,
,,31,223,0.03669475018978119,0.5151515007019043
0.006091001469771643,0.4399999976158142,32,230,,
,,32,230,0.03656741976737976,0.5151515007019043
0.005806133835530097,0.4399999976158142,33,237,,
,,33,237,0.03621287643909454,0.5151515007019043
0.0056106798208766405,0.4399999976158142,34,244,,
,,34,244,0.03616377338767052,0.5151515007019043
0.0054022784059783975,0.4399999976158142,35,251,,
,,35,251,0.03607045114040375,0.5151515007019043
0.005372208540051995,0.4399999976158142,36,258,,
,,36,258,0.036135829985141754,0.5151515007019043
0.005766956221060984,0.4399999976158142,37,265,,
,,37,265,0.03616495802998543,0.5151515007019043
0.005493934753137019,0.4399999976158142,38,272,,
,,38,272,0.03595919534564018,0.5151515007019043
0.005177828830847896,0.4399999976158142,39,279,,
,,39,279,0.03582176938652992,0.5151515007019043
0.00505222288550271,0.4399999976158142,40,286,,
,,40,286,0.03568216413259506,0.5151515007019043
0.0049768433942217446,0.4399999976158142,41,293,,
,,41,293,0.0355520062148571,0.5151515007019043
0.004823960186034903,0.4399999976158142,42,300,,
,,42,300,0.035458944737911224,0.5252525210380554
0.004784038219089497,0.4399999976158142,43,307,,
,,43,307,0.03540989011526108,0.5252525210380554
0.004870289943654118,0.4399999976158142,44,314,,
,,44,314,0.03541971370577812,0.5252525210380554
0.004855207117481349,0.4399999976158142,45,321,,
,,45,321,0.0354330912232399,0.5252525210380554
0.004780804801967739,0.4399999976158142,46,328,,
,,46,328,0.035444051027297974,0.5252525210380554
0.004873341332989709,0.4399999976158142,47,335,,
,,47,335,0.035627271980047226,0.5252525210380554
0.004901016232241311,0.4399999976158142,48,342,,
,,48,342,0.03555833548307419,0.5252525210380554
0.004950987596886137,0.4399999976158142,49,349,,
,,49,349,0.03535221889615059,0.5252525210380554
0.004836268717696989,0.4399999976158142,50,356,,
,,50,356,0.0352986715734005,0.5252525210380554
0.004631053935154879,0.4399999976158142,51,363,,
,,51,363,0.03522893041372299,0.5252525210380554
0.004594134939036431,0.4399999976158142,52,370,,
,,52,370,0.035184040665626526,0.5252525210380554
0.00458240248555433,0.4399999976158142,53,377,,
,,53,377,0.03514867275953293,0.5252525210380554
0.004597517817703054,0.4399999976158142,54,384,,
,,54,384,0.03511226922273636,0.5252525210380554
0.004607259826035878,0.4399999976158142,55,391,,
,,55,391,0.03508591279387474,0.5252525210380554
0.004556337257964644,0.4399999976158142,56,398,,
,,56,398,0.0350634939968586,0.5252525210380554
0.004500027112109509,0.4399999976158142,57,405,,
,,57,405,0.035042814910411835,0.5252525210380554
0.004500002005042086,0.4399999976158142,58,412,,
,,58,412,0.035027023404836655,0.5252525210380554
0.004713562739612852,0.4399999976158142,59,419,,
,,59,419,0.035109929740428925,0.5252525210380554
0.004749569706972299,0.4399999976158142,60,426,,
,,60,426,0.03512037917971611,0.5252525210380554
0.004634774962189092,0.4399999976158142,61,433,,
,,61,433,0.03513717278838158,0.5252525210380554
0.004510722179582923,0.4399999976158142,62,440,,
,,62,440,0.03510585427284241,0.5252525210380554
0.004428612768867148,0.4399999976158142,63,447,,
,,63,447,0.03506728634238243,0.5252525210380554
0.0043838830294029955,0.4399999976158142,64,454,,
,,64,454,0.035030484199523926,0.5252525210380554
0.004368971634144887,0.4399999976158142,65,461,,
,,65,461,0.035002969205379486,0.5252525210380554
0.004354293719733843,0.4399999976158142,66,468,,
,,66,468,0.034982454031705856,0.5252525210380554
0.0043417213975005696,0.4399999976158142,67,475,,
,,67,475,0.034966953098773956,0.5252525210380554
0.004340420241782042,0.4399999976158142,68,482,,
,,68,482,0.03495506942272186,0.5252525210380554
0.004384311391748984,0.4399999976158142,69,489,,
,,69,489,0.03495638445019722,0.5252525210380554
0.0045168080871988035,0.4399999976158142,70,496,,
,,70,496,0.03518572449684143,0.5252525210380554
0.004614481851748491,0.4399999976158142,71,503,,
,,71,503,0.03520480915904045,0.5252525210380554
0.004678404087430702,0.4399999976158142,72,510,,
,,72,510,0.03502825275063515,0.5252525210380554
0.004656354514971356,0.4399999976158142,73,517,,
,,73,517,0.034984465688467026,0.5252525210380554
0.004577829354304911,0.4399999976158142,74,524,,
,,74,524,0.03497651219367981,0.5252525210380554
0.004490725216500613,0.4399999976158142,75,531,,
,,75,531,0.03496081754565239,0.5252525210380554
0.004434277742912164,0.4399999976158142,76,538,,
,,76,538,0.03494145721197128,0.5252525210380554
0.004407109396009723,0.4399999976158142,77,545,,
,,77,545,0.03492732718586922,0.5252525210380554
0.004395571835684101,0.4399999976158142,78,552,,
,,78,552,0.03491738438606262,0.5252525210380554
0.0043864324317007455,0.4399999976158142,79,559,,
,,79,559,0.034908898174762726,0.5252525210380554
0.004375382748681237,0.4399999976158142,80,566,,
,,80,566,0.03490107133984566,0.5252525210380554
0.004343034119986534,0.4399999976158142,81,573,,
,,81,573,0.034894708544015884,0.5252525210380554
0.004304950877569839,0.4399999976158142,82,580,,
,,82,580,0.03488865867257118,0.5252525210380554
0.004288385379338933,0.4399999976158142,83,587,,
,,83,587,0.03488412871956825,0.5252525210380554
0.004287224962500069,0.4399999976158142,84,594,,
,,84,594,0.03487937152385712,0.5252525210380554
0.004278909274232003,0.4399999976158142,85,601,,
,,85,601,0.034874748438596725,0.5252525210380554
0.004276991217215845,0.4399999976158142,86,608,,
,,86,608,0.03487085923552513,0.5252525210380554
0.004268989982895287,0.4399999976158142,87,615,,
,,87,615,0.03486727550625801,0.5252525210380554
0.004266710960855045,0.4399999976158142,88,622,,
,,88,622,0.034863680601119995,0.5252525210380554
0.004259596933833274,0.4399999976158142,89,629,,
,,89,629,0.0348607674241066,0.5252525210380554
0.004247658932197611,0.4399999976158142,90,636,,
,,90,636,0.03485754877328873,0.5252525210380554
0.004246748757326786,0.4399999976158142,91,643,,
,,91,643,0.03485500067472458,0.5252525210380554
0.004254206394413776,0.4399999976158142,92,650,,
,,92,650,0.03485216945409775,0.5252525210380554
0.0042532652135642305,0.4399999976158142,93,657,,
,,93,657,0.03485013172030449,0.5252525210380554
0.0042432594828490065,0.4399999976158142,94,664,,
,,94,664,0.03484738618135452,0.5252525210380554
